hole_id,depth,dip,azimuth
WD004,0,-90,0
WD004,30,-88.7,5.23
WD004,60,-87,2.5
WD005,100,-90,0
WD011,0,-90,0
WD011,40,-81,175.69
WD011,100,-75,178
WD016,0,-90,0
WD016,50,-86.95,2.35
WD016,100,-78,10.23
WD016,120,-87.93,1.34
WD031,0,-90,0
WD031,50,-89.8,176.21
WD032,0,-90,0
WD032,50,-76,78
WD032,100,-77,77
WD033,0,-90,0
WD033,50,-86.41,256.13
WD033,100,-88.23,254.18
WD064,0,-90,0
WD064,50,-89,330
WD095,0,-90,0
WD095,50,-88,2
WD095,80,-87,5
WRC001,120,-90,0
WRC002,110,-90,0
WRC003,80,-90,0
WRC006,120,-90,0
WRC007,140,-90,0
WRC008,0,-90,0
WRC008,30,-89.7,7.89
WRC008,60,-82,174.3
WRC008,120,-90,0
WRC009,100,-90,0
WRC010,140,-90,0
WRC012,130,-90,0
WRC013,100,-90,0
WRC014,120,-90,0
WRC015,120,-90,0
WRC017,120,-90,0
WRC018,100,-90,0
WRC019,120,-90,0
WRC020,110,-90,0
WRC021,100,-90,0
WRC022,120,-90,0
WRC023,50,-90,0
WRC024,50,-90,0
WRC025,140,-90,0
WRC026,100,-90,0
WRC027,60,-90,0
WRC028,100,-90,0
WRC029,100,-90,0
WRC030,120,-90,0
WRC034,150,-90,0
WRC035,40,-90,0
WRC036,70,-90,0
WRC037,150,-90,0
WRC038,50,-90,0
WRC039,50,-90,0
WRC040,90,-90,0
WRC041,100,-90,0
WRC042,90,-90,0
WRC043,50,-90,0
WRC044,100,-90,0
WRC045,100,-90,0
WRC046,50,-90,0
WRC048,70,-90,0
WRC049,40,-90,0
WRC050,100,-90,0
WRC051,90,-90,0
WRC052,150,-90,0
WRC053,110,-90,0
WRC054,110,-90,0
WRC055,100,-90,0
WRC056,50,-90,0
WRC057,40,-90,0
WRC058,100,-90,0
WRC059,90,-90,0
WRC060,70,-90,0
WRC061,30,-90,0
WRC062,100,-90,0
WRC063,100,-90,0
WRC065,100,-90,0
WRC066,120,-90,0
WRC067,100,-90,0
WRC068,30,-90,0
WRC069,140,-90,0
WRC070,100,-90,0
WRC071,20,-90,0
WRC072,30,-90,0
WRC073,130,-90,0
WRC074,100,-90,0
WRC075,70,-90,0
WRC076,150,-90,0
WRC077,120,-90,0
WRC078,80,-90,0
WRC079,150,-90,0
WRC080,150,-90,0
WRC081,170,-90,0
WRC082,120,-90,0
WRC083,150,-90,0
WRC084,150,-90,0
WRC085,120,-90,0
WRC086,100,-90,0
WRC087,120,-90,0
WRC088,20,-90,0
WRC089,70,-90,0
WRC090,70,-90,0
WRC091,100,-90,0
WRC092,100,-90,0
WRC093,100,-90,0
WRC094,140,-90,0
