Output Filename: rep_trend_analysis                                 Feb 27, 2022

Statistics Report



File ,Comp Au Qv 1 Capping44.str ,Comp Au Qv 1 Capping44.str ,Comp Au Qv 1 Capping44.str ,Comp Au Qv 1 Capping44.str ,Bm Centroids.str ,Bm Centroids.str ,Bm Centroids.str ,Bm Centroids.str 
String range,1,1,1,1,All,All,All,All
Variable,D1,D1,D1,D1,D4,D4,D4,D4
,,,,,,,,
Number of samples,68,287,134,81,2570,5462,4048,2463
Minimum value,0.9900,0.3200,0.9500,0.9800,1.580,1.340,1.650,1.760
Maximum value,4.0000,4.0000,4.0000,4.0000,3.350,3.290,3.310,3.100
,,,,,,,,
Minimum Y,7100,7200,7300,7400,7100,7200,7300,7400
Maximum Y,7200,7300,7400,7500,7200,7300,7400,7500
,,,,,,,,
,Ungrouped Data,Ungrouped Data,Ungrouped Data,Ungrouped Data,Ungrouped Data,Ungrouped Data,Ungrouped Data,Ungrouped Data
Mean,2.1883,2.2563,2.4603,2.4742,2.224,2.303,2.501,2.504
Median,2.0150,2.0100,2.1850,2.1600,2.200,2.340,2.500,2.510
Geometric Mean,1.9723,2.0098,2.1971,2.2580,2.192,2.276,2.481,2.480
Variance,1.0007,1.0947,1.2227,1.0113,0.150,0.117,0.098,0.120
Standard Deviation,1.0004,1.0463,1.1058,1.0057,0.387,0.343,0.314,0.346
Coefficient of variation,0.4571,0.4637,0.4494,0.4065,0.174,0.149,0.125,0.138
,,,,,,,,
Moment 1 About Arithmetic Mean,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000
Moment 2 About Arithmetic Mean,1.0007,1.0947,1.2227,1.0113,0.150,0.117,0.098,0.120
Moment 3 About Arithmetic Mean,0.5892,0.4920,0.2818,0.2216,0.036,-0.012,0.002,-0.006
Moment 4 About Arithmetic Mean,2.0226,2.2893,2.3939,1.8259,0.074,0.041,0.027,0.027
,,,,,,,,
Skewness,0.5885,0.4295,0.2084,0.2179,0.627,-0.310,0.076,-0.156
Kurtosis,2.0196,1.9105,1.6011,1.7852,3.275,3.006,2.769,1.847
,,,,,,,,
Natural Log Mean,0.6792,0.6980,0.7871,0.8145,0.785,0.823,0.909,0.908
Log Variance,0.2085,0.2457,0.2413,0.1949,0.029,0.025,0.016,0.020
,,,,,,,,
10.0 Percentile,1.0755,1.0400,1.0450,1.1550,1.780,1.810,2.170,2.030
20.0 Percentile,1.1850,1.1750,1.1700,1.4000,1.860,2.030,2.220,2.120
30.0 Percentile,1.3750,1.3500,1.6700,1.9800,2.000,2.160,2.300,2.250
40.0 Percentile,1.6100,1.9100,1.9850,2.0650,2.100,2.250,2.410,2.440
50.0 Percentile (median),2.0150,2.0100,2.1850,2.1600,2.200,2.340,2.500,2.510
60.0 Percentile,2.1600,2.3050,2.6100,2.8150,2.300,2.390,2.570,2.680
70.0 Percentile,2.9320,2.9350,3.1210,3.1400,2.400,2.490,2.650,2.770
80.0 Percentile,3.1700,3.4400,4.0000,3.6950,2.510,2.570,2.780,2.850
90.0 Percentile,4.0000,4.0000,4.0000,4.0000,2.720,2.730,2.930,2.920
100.0 Percentile,4.0000,4.0000,4.0000,4.0000,3.350,3.290,3.310,3.100
,,,,,,,,
Trimean,2.0988,2.0719,2.4125,2.3613,2.188,2.328,2.493,2.505
Biweight,2.1226,2.1861,2.4190,2.3857,2.195,2.326,2.498,2.509
MAD,0.9050,0.9239,1.2010,0.8200,0.265,0.214,0.228,0.299
Alpha,-0.2313,-0.1175,0.8803,0.0546,-0.016,-1.327,-1.081,-1.742
Sichel-t,2.1854,2.2714,2.4763,2.4859,2.224,2.305,2.502,2.505

                                                                             1/1
